u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
1,105,inf,inf,inf,569.2890302825094,inf
1,106,inf,inf,inf,619.7709254232567,inf
1,107,inf,inf,inf,790.5675176732219,inf
1,108,inf,inf,inf,961.9667353916143,inf
1,109,inf,inf,inf,945.9852007299057,inf
1,110,inf,inf,inf,484.8463674196188,inf
1,111,inf,inf,inf,531.7527620990793,inf
2,3,inf,inf,inf,509.3859047912496,inf
2,4,inf,inf,inf,173.63179432350518,inf
2,5,inf,inf,inf,250.0719896349849,inf
2,6,inf,inf,inf,507.2297309898149,inf
2,7,inf,inf,inf,393.3675126392621,inf
2,8,8.0,462.58787847867984,462.58787847867984,279.06450867138227,1.6576378009552228
2,9,inf,inf,inf,393.88957843537827,inf
2,10,inf,inf,inf,471.0944703559998,inf
2,11,inf,inf,inf,181.06904760339356,inf
2,12,inf,inf,inf,507.1932570529699,inf
2,13,20.0,1110.0163773909258,1110.0163773909258,504.73062122284597,2.199225350547609
2,14,inf,inf,inf,132.6536844569347,inf
2,15,12.0,832.9919907732864,832.9919907732864,466.16842449912883,1.7868906322179336
2,16,inf,inf,inf,409.6461888019953,inf
2,17,inf,inf,inf,507.42487128638066,inf
2,18,inf,inf,inf,188.45158529447292,inf
2,19,16.0,913.0458146424485,913.0458146424485,187.85632808079689,4.860341006185046
2,20,inf,inf,inf,137.31715115017496,inf
2,21,inf,inf,inf,503.5871324805669,inf
2,22,inf,inf,inf,397.1523637094459,inf
2,23,inf,inf,inf,101.78899744078434,inf
2,24,inf,inf,inf,503.8352905464245,inf
2,25,inf,inf,inf,240.15411718311222,inf
2,26,inf,inf,inf,391.57630163226173,inf
2,27,inf,inf,inf,328.6609194899813,inf
2,28,inf,inf,inf,58.9406481131655,inf
2,29,inf,inf,inf,303.71203466441693,inf
2,30,inf,inf,inf,504.1765563768312,inf
2,31,inf,inf,inf,452.23555808892337,inf
2,32,inf,inf,inf,506.3170943193603,inf
2,33,inf,inf,inf,283.7833680820636,inf
2,34,inf,inf,inf,358.6697645467206,inf
2,35,inf,inf,inf,511.8095348857815,inf
2,36,inf,inf,inf,379.0646382874562,inf
2,37,inf,inf,inf,489.0480548984936,inf
2,38,inf,inf,inf,246.0081299469593,inf
2,39,5.0,257.59292911256324,257.59292911256324,70.9365914038728,3.6313124723737418
